mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_max_depth,param_min_samples_leaf,param_min_samples_split,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0.7580710887908936,0.014865681268223288,0.024944162368774413,0.001574659894070936,10,1,2,100,"{'max_depth': 10, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 100}",0.7711864406779662,0.7740112994350282,0.7612994350282486,0.768361581920904,0.785007072135785,0.7719731658395864,0.007766951862931411,9
1.9435582160949707,0.4154595810333991,0.0702183723449707,0.027398870937249065,10,1,2,200,"{'max_depth': 10, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 200}",0.7655367231638418,0.768361581920904,0.7655367231638418,0.769774011299435,0.7835926449787836,0.7705603369053613,0.006719632061486183,15
0.9680422782897949,0.3268602569977729,0.027546215057373046,0.007341816661637208,10,1,5,100,"{'max_depth': 10, 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 100}",0.7669491525423728,0.7669491525423728,0.768361581920904,0.7584745762711864,0.7751060820367751,0.7671681090627223,0.005293565692671169,23
1.4286461353302002,0.033948602878978835,0.04408969879150391,0.0009142726829537241,10,1,5,200,"{'max_depth': 10, 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 200}",0.7711864406779662,0.768361581920904,0.7754237288135594,0.769774011299435,0.7821782178217822,0.7733847961067294,0.004991687616712042,3
0.6875000476837159,0.01624019905374371,0.02401738166809082,0.0013193838543220338,10,2,2,100,"{'max_depth': 10, 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 100}",0.7570621468926554,0.7711864406779662,0.769774011299435,0.768361581920904,0.7793493635077794,0.769146708859748,0.007145645364201686,20
2.186349296569824,0.5949603475897653,0.07490510940551758,0.030096802349369373,10,2,2,200,"{'max_depth': 10, 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 200}",0.7655367231638418,0.7711864406779662,0.7711864406779662,0.7754237288135594,0.7835926449787836,0.7733851956624234,0.00599358334352138,2
0.9175533294677735,0.2594490193886082,0.026784753799438475,0.012953321577438495,10,2,5,100,"{'max_depth': 10, 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 100}",0.7641242937853108,0.7711864406779662,0.768361581920904,0.7754237288135594,0.7779349363507779,0.7714061963097036,0.004921566572391142,11
1.4775304794311523,0.0445887582711933,0.044507932662963864,0.0013933293987059819,10,2,5,200,"{'max_depth': 10, 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 200}",0.7598870056497176,0.768361581920904,0.768361581920904,0.7669491525423728,0.7821782178217822,0.7691475079711362,0.007233594245750358,19
1.1157590866088867,0.3410218294779179,0.03260126113891602,0.005764343899944018,20,1,2,100,"{'max_depth': 20, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 100}",0.7556497175141242,0.7570621468926554,0.7641242937853108,0.7725988700564972,0.7864214992927864,0.7671713055082747,0.011351253463199167,22
2.1369454860687256,0.6337541349782314,0.06010470390319824,0.01382534867345204,20,1,2,200,"{'max_depth': 20, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 200}",0.751412429378531,0.7612994350282486,0.7740112994350282,0.768361581920904,0.7765205091937766,0.7663210509912977,0.009108416552816368,24
1.3970160007476806,0.4133256492594087,0.05271930694580078,0.019375525591370738,20,1,5,100,"{'max_depth': 20, 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 100}",0.7641242937853108,0.7782485875706214,0.7556497175141242,0.7725988700564972,0.7864214992927864,0.771408593643868,0.01072373826780377,10
2.096836233139038,0.7116401823032171,0.05648050308227539,0.01321100452384889,20,1,5,200,"{'max_depth': 20, 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 200}",0.7641242937853108,0.7711864406779662,0.7655367231638418,0.786723163841808,0.7821782178217822,0.7739497678581417,0.009009131730067378,1
1.1972637176513672,0.4446146039355863,0.03200068473815918,0.007769339889642944,20,2,2,100,"{'max_depth': 20, 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 100}",0.7542372881355932,0.7796610169491526,0.7627118644067796,0.7725988700564972,0.7906647807637907,0.7719747640623627,0.012721667173082185,7
1.989079236984253,0.6456662415646129,0.06734695434570312,0.03253830448575123,20,2,2,200,"{'max_depth': 20, 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 200}",0.7655367231638418,0.769774011299435,0.7612994350282486,0.769774011299435,0.7807637906647807,0.7694295942911482,0.006480049210325299,16
1.0805197715759278,0.31579770668368345,0.032905960083007814,0.01068234182082541,20,2,5,100,"{'max_depth': 20, 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 100}",0.7528248587570622,0.7655367231638418,0.769774011299435,0.7740112994350282,0.7835926449787836,0.7691479075268302,0.010121043429275237,17
2.3645787239074707,0.647287241957658,0.07163310050964355,0.029881052082074804,20,2,5,200,"{'max_depth': 20, 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 200}",0.7528248587570622,0.7768361581920904,0.7740112994350282,0.769774011299435,0.7821782178217822,0.7711249091010796,0.00999842003997336,13
1.2278534412384032,0.3792404186383861,0.0503023624420166,0.02754103996245224,,1,2,100,"{'max_depth': None, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 100}",0.7556497175141242,0.7612994350282486,0.769774011299435,0.7754237288135594,0.7835926449787836,0.7691479075268302,0.009921975942250652,17
