mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_max_depth,param_min_samples_leaf,param_min_samples_split,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
1.2411044120788575,0.08369977509815262,0.03843145370483399,0.006107217570159963,10,1,2,100,"{'max_depth': 10, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 100}",0.7711864406779662,0.7740112994350282,0.7612994350282486,0.768361581920904,0.785007072135785,0.7719731658395864,0.007766951862931411,9
2.4452787399291993,0.22251178581672396,0.07698550224304199,0.008214793510155825,10,1,2,200,"{'max_depth': 10, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 200}",0.7655367231638418,0.768361581920904,0.7655367231638418,0.769774011299435,0.7835926449787836,0.7705603369053613,0.006719632061486183,15
1.2481348037719726,0.10792925972702677,0.03909211158752442,0.006632624597999732,10,1,5,100,"{'max_depth': 10, 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 100}",0.7669491525423728,0.7669491525423728,0.768361581920904,0.7584745762711864,0.7751060820367751,0.7671681090627223,0.005293565692671169,23
2.733926010131836,0.12727771973836363,0.08959627151489258,0.012783324613261215,10,1,5,200,"{'max_depth': 10, 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 200}",0.7711864406779662,0.768361581920904,0.7754237288135594,0.769774011299435,0.7821782178217822,0.7733847961067294,0.004991687616712042,3
1.2632012844085694,0.08401578557152581,0.04991912841796875,0.009819967120167274,10,2,2,100,"{'max_depth': 10, 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 100}",0.7570621468926554,0.7711864406779662,0.769774011299435,0.768361581920904,0.7793493635077794,0.769146708859748,0.007145645364201686,20
2.4904220581054686,0.16907285487013515,0.07137017250061035,0.00799140721336147,10,2,2,200,"{'max_depth': 10, 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 200}",0.7655367231638418,0.7711864406779662,0.7711864406779662,0.7754237288135594,0.7835926449787836,0.7733851956624234,0.00599358334352138,2
1.2906747817993165,0.10106507865176767,0.05244975090026856,0.015524833605676578,10,2,5,100,"{'max_depth': 10, 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 100}",0.7641242937853108,0.7711864406779662,0.768361581920904,0.7754237288135594,0.7779349363507779,0.7714061963097036,0.004921566572391142,11
2.4665754795074464,0.08363511043706882,0.08269753456115722,0.010251413080865876,10,2,5,200,"{'max_depth': 10, 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 200}",0.7598870056497176,0.768361581920904,0.768361581920904,0.7669491525423728,0.7821782178217822,0.7691475079711362,0.007233594245750358,19
1.5366613864898682,0.08331616761980762,0.0440676212310791,0.0021336726698761555,20,1,2,100,"{'max_depth': 20, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 100}",0.7556497175141242,0.7570621468926554,0.7641242937853108,0.7725988700564972,0.7864214992927864,0.7671713055082747,0.011351253463199167,22
3.4519370079040526,0.06474961866465599,0.09714274406433106,0.014495779246234781,20,1,2,200,"{'max_depth': 20, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 200}",0.751412429378531,0.7612994350282486,0.7740112994350282,0.768361581920904,0.7765205091937766,0.7663210509912977,0.009108416552816368,24
1.7990636348724365,0.06424331377286759,0.04981861114501953,0.008085485734157875,20,1,5,100,"{'max_depth': 20, 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 100}",0.7641242937853108,0.7782485875706214,0.7556497175141242,0.7725988700564972,0.7864214992927864,0.771408593643868,0.01072373826780377,10
3.285263919830322,0.1912093447334176,0.08902473449707031,0.010222180378069703,20,1,5,200,"{'max_depth': 20, 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 200}",0.7641242937853108,0.7711864406779662,0.7655367231638418,0.786723163841808,0.7821782178217822,0.7739497678581417,0.009009131730067378,1
1.5902352809906006,0.05271098676941221,0.055144739151000974,0.012502893338770743,20,2,2,100,"{'max_depth': 20, 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 100}",0.7542372881355932,0.7796610169491526,0.7627118644067796,0.7725988700564972,0.7906647807637907,0.7719747640623627,0.012721667173082185,7
2.997883653640747,0.20087855178014308,0.09966683387756348,0.027282479098944157,20,2,2,200,"{'max_depth': 20, 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 200}",0.7655367231638418,0.769774011299435,0.7612994350282486,0.769774011299435,0.7807637906647807,0.7694295942911482,0.006480049210325299,16
1.5011991500854491,0.20316830468286987,0.04942903518676758,0.013063488163288058,20,2,5,100,"{'max_depth': 20, 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 100}",0.7528248587570622,0.7655367231638418,0.769774011299435,0.7740112994350282,0.7835926449787836,0.7691479075268302,0.010121043429275237,17
3.571158599853516,0.5748855566140374,0.08788499832153321,0.01753719692973333,20,2,5,200,"{'max_depth': 20, 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 200}",0.7528248587570622,0.7768361581920904,0.7740112994350282,0.769774011299435,0.7821782178217822,0.7711249091010796,0.00999842003997336,13
1.6684362888336182,0.31153797316421744,0.06532378196716308,0.01864803812302697,,1,2,100,"{'max_depth': None, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 100}",0.7556497175141242,0.7612994350282486,0.769774011299435,0.7754237288135594,0.7835926449787836,0.7691479075268302,0.009921975942250652,17
